ZIPcode,Population,state,income_density,family_density,Total_Visit_lowes_density,store_type
37204,13169,TN,51.85929076,0.587516136,0,1
33129,13148,FL,45.26080012,0.631426833,0,1
34771,13047,FL,51.68107611,0.896604583,0,1
33315,12982,FL,27.87675243,0.663765213,0,1
36078,12916,AL,17.14160731,0.878600186,0,1
33149,12888,FL,71.30043451,0.898975791,0,1
32459,12875,FL,64.91425243,0.777475728,0,1
37341,12817,TN,22.62112819,0.872747133,0,1
33776,12740,FL,27.3588697,0.847723705,0,1
35504,12710,AL,19.72321007,0.848308419,0,1
35146,12572,AL,19.97502386,0.815144766,0,1
35057,12529,AL,20.3256445,0.896400351,0,1
34610,12527,FL,21.82956813,0.827332961,0,1
35077,12190,AL,16.0316653,0.822723544,0,1
35750,12179,AL,22.56671319,0.872156992,0,1
36111,12171,AL,20.22487881,0.817106236,0,1
35773,12160,AL,22.11143092,0.872944079,0,1
36877,12137,AL,18.29257642,0.856059982,0,1
37203,12068,TN,101.7344216,0.456910839,0,1
33305,12010,FL,46.50882598,0.478101582,0,1
34669,11940,FL,20.23827471,0.847738693,0,1
33478,11926,FL,47.0109844,0.911957069,0,1
33449,11845,FL,28.03149008,0.934993668,0,1
34236,11843,FL,47.05176053,0.568521489,0,1
35761,11736,AL,25.11903545,0.903118609,0,1
37721,11734,TN,22.20385205,0.878984149,0,1
32801,11718,FL,57.46228025,0.311315924,0,1
36022,11709,AL,26.02545051,0.85933897,0,1
35756,11649,AL,63.84685381,0.882994248,0,1
33037,11519,FL,41.1425471,0.730011286,0,1
32569,11510,FL,21.77376195,0.828496959,0,1
37179,11498,TN,52.4208558,0.912854409,50.17690033,1
34102,11464,FL,75.44783671,0.719120726,0,1
32669,11394,FL,39.33149026,0.873968755,0,1
35453,11373,AL,18.10014948,0.870306867,0,1
32951,11357,FL,30.68468786,0.8080479,0,1
37924,11283,TN,21.29841354,0.81370203,0,1
38358,11267,TN,17.68953581,0.847874323,50.0735777,1
32219,11229,FL,21.65143824,0.879597471,0,1
34240,11227,FL,46.56088002,0.887859624,0,1
37777,11223,TN,28.05417446,0.765838011,0,1
32776,11049,FL,28.16227713,0.915105439,0,1
36093,11033,AL,25.97589051,0.920420557,57.89794254,1
32643,10958,FL,22.64829348,0.87333455,0,1
37062,10954,TN,26.65446412,0.898667154,0,1
37772,10763,TN,33.98439097,0.850599275,0,1
34288,10749,FL,23.84352033,0.842496976,0,1
36587,10707,AL,15.56458392,0.918090969,0,1
35223,10660,AL,72.67054409,0.902251407,0,1
33132,10610,FL,57.41866164,0.381715363,0,1
33332,10599,FL,45.55675064,0.932823851,0,1
32908,10586,FL,23.002645,0.891743813,0,1
38004,10479,TN,27.98969367,0.89789102,0,1
37135,10374,TN,82.01908618,0.931174089,0,1
35128,10336,AL,20.26209365,0.838525542,0,1
34604,10304,FL,20.32181677,0.777950311,0,1
32579,10298,FL,23.69877646,0.780831229,0,1
35127,10270,AL,18.00730282,0.891723466,0,1
33592,10237,FL,20.31972257,0.805509427,0,1
34996,10208,FL,43.43044671,0.741869122,0,1
35125,10205,AL,16.50367467,0.840960314,0,1
38011,10184,TN,18.60889631,0.9185978,0,1
38060,10148,TN,29.4104257,0.892885298,0,1
32169,10103,FL,32.88656835,0.756112046,0,1
35043,10101,AL,40.16780517,0.917631918,0,1
32754,10094,FL,22.7736279,0.821676243,0,1
35906,10064,AL,17.32800079,0.858306836,0,1
36604,10046,AL,17.77762293,0.703762692,0,1
36079,10036,AL,15.49920287,0.793144679,0,1
35004,9974,AL,25.96841789,0.868859033,56.66543012,1
32833,9968,FL,24.9651886,0.874097111,0,1
32920,9909,FL,20.36290241,0.628216773,0,1
33981,9857,FL,22.94410064,0.862432789,0,1
35769,9830,AL,19.06765005,0.851678535,0,1
33480,9796,FL,79.52286648,0.683544304,0,1
38068,9684,TN,19.77168525,0.813713342,0,1
35179,9660,AL,17.13809524,0.897722567,0,1
35634,9638,AL,22.78128242,0.909939822,0,1
35058,9565,AL,19.0050183,0.848092002,0,1
32409,9507,FL,21.15493847,0.859997896,0,1
37757,9506,TN,16.75194614,0.860088365,66.07174416,1
32736,9342,FL,26.94819097,0.892207236,0,1
38058,9335,TN,23.25773969,0.918585967,0,1
32407,9318,FL,32.40802747,0.772268727,67.85876798,1
33050,9228,FL,23.50281751,0.749241439,0,1
37871,9227,TN,17.23799718,0.910480113,0,1
33473,9189,FL,41.31537708,0.968331701,0,1
37877,9004,TN,17.80386495,0.872390049,0,1
33896,8980,FL,48.09565702,0.84766147,0,1
36064,8944,AL,43.64378354,0.91793381,0,1
37190,8919,TN,16.27503083,0.861419442,0,1
32561,8888,FL,44.90312781,0.862961296,0,1
35051,8868,AL,18.58107803,0.758006315,0,1
35079,8861,AL,19.22593387,0.906331114,0,1
37186,8791,TN,17.08781709,0.851893982,0,1
36421,8690,AL,17.78319908,0.848331415,0,1
36345,8660,AL,19.52644342,0.881639723,0,1
32820,8641,FL,31.21259114,0.895729661,0,1
36874,8542,AL,20.73296652,0.879068134,0,1
